Equipment Description,Manufacturer,Model,Problem ,Work Done
TMT Machine,Allengers,Gemini-DX,Too much artifacts were observed hindering the quality of the signals.,"The earthing wire was found detached. Then, the wire was reconnected properly followed by reset and testing. Now, the machine is fully functional."
Ventilator,Carefusion T Bird Series,Carefusion T-bird series,Leak test failure.,"Inspected and found that the circuit was loosely placed .After properly aligning the circuit, a successful test was conducted."
Anesthesia Machine,GE,9100c NXT,O2 cell Calibration failure.,"Upon inspection, oxidized debris was found on the O2 sensor, which was subsequently cleared.Additionally, the connection of O2 cell was assessed. After this, a successful O2 cell calibration was performed."
OT Light,St.Francis Medical Equipment Co.Ltd,ST-LED70D,Enough light was not being delivered as LEDs were not glowing.,"Inspected and found that most of the LEDs were faulty and needed to be replaced.
However, the spares were not found in the market since it is of the old model. "
ECG Machine,Biolight,E70,Excessive artifacts were being displayed while monitoring the ECG.,The electrodes were cleaned and the filter parameters were readjusted which restored the machine's functionality.
Defibrillator,Mindray,Beneheart D3,Service indicator alarm appeared.,"Different pre-tests such as energy delivery test, rountine test and control tests were performed successfully, which cleared the alarm."
Dental Chair,Confident,Mookambika,The spray did not deliver enough pressure even on using knob.,The knob was found detached due to the loose screw. The screw was tightened and now it delivers optimal pressure.
Patient Monitor,Edan,X12,The NIBP was not being measured.,The cuff had a leakage. The Cuff was changed and now the machine is properly measuring and monitoring the NIBP
Ventilator,Carefusion,T bird Series Vela,Leak test failure,"Upon inspection,the circuit was found to be faulty. After changing the circuit and testing it again, the test passed ."
C-Arm Machine,Kiran,Elite,The machine had issue with exposure and slow software operation,"Inspected and found that the software was malfunctioning. The software was reinstalled. Additionally, the detector was recaliberated."
Sphygmomanometer,Rossmax,N/A,No movement of the indicator upon pumping.,"The leakage was found in the connection point of inflation bulb and the knob. Upon changing the bulb, the problem was solved and the device is fully functional."
Slit Lamp,Optel,N/A,The lamp was not glowing.,"Inspected and found that the bulb was damaged. After changing the bulb, the machine is restored to its functionality."
Slit lamp,Digital Vision,N/A,The device was reported to have yellow vision.,"Inspected and found that the yellow vision was due to the yellow filter which was on.
After removing it, the vision is clear."
Oxygen Concentrator,N/A,QJ-ZY10La,Device not powering on.,"Inspected and found that the board was broken. After replacing the board from another non-functional concentrator, the machine powered on and is fully functional."
Hydrocollator,Meditek Electronics,N/A,The machine was unable to heat the water.,"Upon inspection, the wires connecting the heater was found to be detached and corroded. The wires were replaced and now the machine is functional."
Sphygmomanometer,Microlife,N/A,The cuff had a leakage due to which it was not measuring BP.,Changed the cuff and now the device measures BP accurately.
CO2 Insufflator,N/A,N/A,The machine was reported to not maintaining targetted CO2 level.,Leak was identified at the connection point between the CO2 supply tubing and the insufflator unit. The leak was sealed and now the machine is fully functional.
Ventilator,Vyaire Medical,T Bird Series Vela,O2 range error and O2 calibration error,Inspected and found out the oxygen sensor was expired and needs replacement
Ventilator,Carefusion ,T Bird Series Vela,O2 range error and O2 calibration error,Inspected and found out the oxygen sensor was expired causing the alarm
Anesthesia Machine,GE,9100c NXT,The O2 sensor was not being detected.,The O2 sensor was found to be loosely connected due to the fractured component responsible for securing the sensor to the machine. The O2 sensor was securely connected to the machine.
Ventilator,Carefusion ,T Bird Series Vela,"O2 range error and O2 calibration error
",Inspected and found out the oxygen sensor was expired causing the alarm
Colonoscope,Olympus,CV-150,Display of blurred image.,"The camera lens was found to have accumulated dirt residues. After cleaning the dirt, the clear image was being displayed."
Endoscope,Fujifilm,,The image was not being displayed in the monitor.,The connection of the wire connecting processor to the monitor was found to be loose. The connection was made secure and now the device is functional.
Suction Machine,Jin Sol,,Machine had low suction.,"Upon observation, the bottle was found to have visible cracks which prevented the proper suction.
After replacing the bottle, the machine was restored fo be fully functional."
Nebulizer,CompMist,CNB-9009,"The device was not being powered on, preventing it to function.","Inspected revealed that the switch was damaged. After replacing switch, the device powered on and test was performed which verified the functionality of the device."
Nebulizer,Bsc care,N/A,The device was reported as being unable to provide mist.,"Upon inspection, the opening of the  air outlet  was found to be stuck with a metal fragment. 
After removing and testing, the machine was restored to its functionality."
Patient bed,Timotion,IP54,The bed was unable to function on the remote or side panel.,"The bed board was found to be beyond repair and it was replaced with the new one(202404181660)
Upon testing, the bed was fully movable on remote and side panel ."
Patient Bed,Timotion,IP54,"The bed was not functioning on remote and side panel control.
","The board was reported to be damaged and it was replaced by the new one.
Now the machine is functional."
Laryngoscope,N/A,N/A,Bulb was not glowing in the adult laryngoscope,"The bulb was loosely connected. After tightening its connection,the bulb glowed."
Laryngoscope,Heine,N/A,The bulb was not glowing in the pediatric laryngoscope,"The bulb was found to be faulty. Then, the bulb was changed and tested."
Patient Bed,Timotion,,Bed was unresponsive to remote and side control panel,"The main board was found to be operational.Then, the cable connections to the remote and the side panels were reset."
Dental Chair ,Confident,Mookambika,The burr used to get stuck.,The cartridge was found to be covered with rust. The motor and cartridge were cleaned and aligned properly.
Oxygen Concentrator,N/A,QJ-ZY10La,The device was unable to deliver O2 above 3L/min,"Inspected and found that the O2 reservoir's outlet was covered with residues blocking the O2 flow. After cleaning it, now O2 is being delivered in all available ranges."
Oxygen Concentrator,N/A,QJ-ZY10La,Loud noise,"Inspected that the loud noise was due to motor misalignment. After properly aligning and testing, the machine is fully functional."
Sphygmomanometer,Microlife,,The device was unable to inflate.,"The rubber cuff was found to be damaged.After replacing it, now the proper BP monitoring is being done."
Dental Chair,Confident,Mookambika,The micromotor was reported to be non-functional.,"The micromotor was cross-verified and found to be faulty.
As it had just been purchased a month ago, the vendor replaced it with the new one cailming it to be manufacturing defect."
Slit Lamp,Optel,,The lamp was not glowing.,"Upon inspection, the wire connecting board to the lamp was found to be discontinuous.
The wire was soldered and now the lamp glows."
Patient Bed,Timotion,IP54,The bed was not functioning on remote,"Inspected and found the loose connection of cable in the board. After properly securing connection, the bed is fully functional."
Oxygen Concentrator,N/A,QJ-ZY10La,Low oxygen flow,The filter was found to be dirty and it was cleaned. After that test was performed and not sufficient O2 is being delivered.
Oxygen Concentrator,Devibiss,,No proper O2 delivery,Cleaning  of filter and pipelines were performed. Now the machine is fully functional.
Oxygen Plant,Meditech,MD-200,Servicing of the equipment was required.,"Servicing was performed in which various parts were replaced.
"
C-Arm Machine,Allengers,C-ARM HF49R,Loose screw on the C-Arm Carriage handle,The screw was stuck which was repositioned and securely tightened.
CO2 Insufflator,N/A,N/A,The preset level of CO2 was not being maintained.,"The leakage was found in the connection point between inlet pipe and the machine which waa sealed. Then  the regulator was checked and found to be faulty. After replacing the regulator, the problem was solved."
Sphygmomanometer,N/A,,"Air leakage from the tube's part connecting the pressure release valve which was trimmed. Then the tube was reconnected and test was performed.
The device was restored back to its functionality.",
Sphygmomanometer,Medlife,,The blood pressure measurement was difficult due to loose cuff. The cuff was changed to solve the problem.,
Dental Chair,Confident,Mookambika,The scaler was damaged and the board was also found to be non-functional.,The scaler and board was replaced.
Spirometer,Recorders and Medicare Systems,RMS Helios 401,The device failed to measure and display the PFT signals.,"The USB cable was found to be functional.Then the connections were reset. However, the problem persisted. Then on checking,the wire connecting the sensor to the board was found to be discontinuous which was resoldered. Now the device is fully functional."
